"",Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55
MT-ND4L,800.4056,1700.7596,2689.75,567.723,515.9909,505.2718,1827.4701,1179.7176,7217.4461,696.2842,792.3367,984.314,1178.5071,1575.2381,2009.8425,1204.0461,1010.0214,931.5116,667.8225,1701.1584,1558.3544,1362.7443,927.6821,701.1583,566.3704,985.2066,878.8046,628.0003,502.5771,389.94,876.9157,2315.6219,1667.7694,768.6814,477.0669,856.5222,459.5795,826.0328,958.4491,1139.136,638.9032,2056.2212,682.8747,689.3822,624.8053,380.8242,809.2219,1089.353,638.0336,445.5358,1088.5813,527.789,637.8014,1356.3265,426.7026
CLC,50.5792,10.4906,0,0,6.3482,8.2876,0.6105,1.5977,2.3695,4.671,14.1317,5.9298,18.2114,117.1141,5.0889,32.5305,0.924,1182.4727,735.8976,386.8044,4.5214,12.2307,11.2991,5.9206,0.9378,23.8825,20.5459,7150.4728,51.0691,127.9443,0.1043,1.7803,2.3674,53.9692,1.1699,186.7564,4.828,186.343,17.5314,8.2277,0,19.4178,0.0326,863.5276,1.851,0.4481,640.1611,33.4212,1.2809,3.4629,22.8043,22.8962,168.2351,7.2968,801.5692
SAT1,884.4387,634.9,683.9433,4158.2354,1321.6442,351.947,754.2841,1186.2168,2574.7123,2408.3643,1722.1763,876.0398,1266.3499,717.7409,1629.5851,539.4196,555.9004,2992.0517,731.3126,408.2977,442.2535,5098.5929,574.4019,842.4595,702.4076,598.1641,988.6597,2263.6717,1027.5691,2896.7793,429.2089,447.0735,227.8547,541.0406,567.1393,2452.498,1404.7931,1098.9823,2297.3892,2106.6007,575.7682,2021.5757,871.039,595.4544,891.7614,928.5957,960.8282,564.7043,451.2911,818.7881,1221.1604,864.8756,1971.5373,249.0644,1098.67
MT-ND3,1547.5437,1825.2831,2875.7898,607.1882,730.847,1043.0273,2663.1016,1275.4187,6776.344,1144.5627,1424.2415,840.0316,1485.6857,1497.9058,1722.3572,1039.6889,985.9603,697.8048,668.2248,1273.8016,1633.8522,1339.8039,856.0171,671.6852,658.1384,741.7602,1302.4561,467.8714,311.3522,563.1234,1610.1286,2310.0569,1399.866,1104.765,655.335,968.306,751.3632,619.9599,1081.9927,990.221,710.4549,1665.9368,621.6796,581.3572,1016.1988,601.6671,981.5965,1368.1064,755.7551,657.7739,841.064,508.13,545.8414,2805.4709,487.2352
RPS2,2453.6232,2566.5423,687.4643,1120.8776,1297.6268,3615.5459,6318.632,1299.5091,1004.6094,1841.8454,1993.5966,1228.6058,1211.3181,1495.2872,1676.8156,1062.3613,1850.637,310.4706,519.9961,1629.8784,3031.0859,2489.1886,1178.4883,2406.2191,2463.5484,996.5888,1841.5357,861.2642,578.9139,875.0886,2066.9566,1446.037,1629.3363,2252.7656,2186.9716,643.4968,1639.39,1241.3292,1483.498,1488.1399,1428.7398,1535.9594,1080.9003,812.1173,2522.4846,2280.3122,1048.2025,1156.7501,1210.7118,2167.1336,1509.4587,840.4454,384.6322,2174.9716,475.9687
RPS25,2374.1806,1117.3878,955.6829,1556.381,3132.8951,4895.1967,1136.4882,1562.5663,894.6137,1185.556,1174.5262,1429.3265,895.5045,1619.2004,1671.1879,2770.0277,1701.5304,618.9305,477.2881,1469.2737,1329.4574,980.5628,937.5792,4816.1431,3226.3628,1183.0502,2356.1721,997.7853,1017.5986,919.8254,1450.9341,1911.8668,850.0405,1696.648,1377.4007,632.5573,1366.3368,1416.8037,1647.1905,3459.596,2698.5667,1145.5179,1371.9403,1303.5311,1709.8361,2183.3863,1673.0293,1790.6589,1327.6301,1585.3148,1299.9989,1152.2376,1215.7524,2169.0952,601.774
RPL11,1992.483,982.2003,1340.1673,2501.4441,2838.4917,4286.3622,1414.6933,1882.7977,1365.8503,1671.2557,1591.1222,1928.3638,995.9247,2181.5278,1903.2674,3264.5047,1978.3814,699.6409,592.0895,1696.6726,1846.0245,1920.6354,1195.8287,4731.842,3127.8088,1109.2881,2681.9393,1442.8178,1306.0525,1177.3699,1884.2625,2291.135,997.6984,1865.6636,1866.3658,861.0584,1631.8308,1822.8767,2313.62,4497.6571,2775.3185,1109.4858,1477.9553,1436.3302,2390.0884,3334.9298,1944.5714,2186.1616,1819.9997,2089.8149,2314.7172,2147.281,1179.9018,2572.49,820.019
AHSP,2303.0535,37.7519,1517.6018,42.8119,2.887,453.8285,12.0117,196.5876,779.028,811.2439,3496.4316,103.41,2200.5449,200.5682,197.0144,937.4397,40.6701,213.7246,1989.5548,22.9532,200.2483,70.8101,1986.0029,74.8524,14.9517,23.0741,179.6251,149.9495,565.7984,310.4276,3.2999,46.2649,108.8285,378.5293,66.4014,10.4971,59.8093,1761.8349,975.9403,321.9165,7.457,60.4304,104.6725,3260.7446,9.5885,8.8602,494.8124,513.4442,17.7196,155.9324,192.6076,180.2657,2783.4946,1202.6405,85.7132
RPS11,4123.7244,3752.9218,2081.5388,1002.0259,2227.8296,3512.2758,5068.1472,3279.3017,1948.8433,3052.0838,2684.0968,2268.5672,1611.8526,2992.0818,2825.5632,3061.2344,4046.4892,1377.1903,1194.1739,2621.993,3656.1679,2755.6696,2204.0657,3767.9622,2950.7427,1638.1476,3133.8989,2359.4189,1585.5638,1505.0075,2641.3028,2739.1095,2186.7096,3878.5639,2790.4103,1566.6328,2798.8487,2357.6338,2351.4898,3693.3083,3053.0224,3967.4639,3029.181,2727.3545,3552.349,3424.7277,3124.2129,2763.0972,2369.8305,2834.6532,2861.5708,2079.3679,1642.858,3224.9118,1598.96
H3F3B,2130.8691,766.1279,1270.2655,4490.6713,2583.6195,616.0147,556.1536,3812.3424,798.1994,569.8087,466.8,724.4738,768.0948,1642.7666,1227.3158,2142.5223,903.8879,1451.3137,701.103,815.5134,1245.9279,1820.5231,1709.9332,972.8255,918.3091,1129.7941,885.5881,1724.0984,1319.7934,1044.0784,1044.2328,2181.6736,1411.1932,945.6588,810.2723,1023.7493,2459.8627,388.5467,1579.7383,930.8382,1670.8157,814.1781,678.1539,832.2344,1401.4548,2340.7103,1522.4667,2002.7107,932.4872,451.9522,1596.1615,1015.3454,845.7072,857.4282,750.0748
